# Time (s)
0.008411
# Mem(KB) tseries,means,norms,df,dg,profile,profileIndex,Total(MB)
0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.00
# Profile Length
48
# i,tseries,profile,index
0,-1.15009999999999990,0.15185946737113823,45
1,-1.15369999999999995,0.04558425267768822,34
2,-1.15769999999999995,0.05686662085967905,21
3,-1.10359999999999991,0.08355393253349970,15
4,-1.13789999999999991,0.42868744071350839,26
5,-1.15559999999999996,0.04916814339695935,24
6,-1.11820000000000008,0.17079235813556481,33
7,-1.04459999999999997,0.17775283433738298,13
8,-1.07590000000000008,0.26190563252380017,14
9,-1.04370000000000007,0.24237096911332140,46
10,-1.08699999999999997,0.02939836669728125,36
11,-1.28810000000000002,0.08175260959986301,1
12,-1.29360000000000008,0.08212665762326361,2
13,-1.24910000000000010,0.17775283433738298,7
14,-1.27919999999999989,0.26190563252380017,8
15,-1.24429999999999996,0.08355393253349970,3
16,-1.28340000000000010,0.09559531132810349,47
17,-1.29990000000000006,0.06030158577348656,32
18,-1.21680000000000010,0.01434634288754380,20
19,-1.21209999999999996,0.07223122046613477,29
20,-1.18379999999999996,0.01434634288754380,18
21,-1.09820000000000007,0.05686662085967905,2
22,-0.54498999999999997,0.69969621585320541,7
23,-0.87970000000000004,0.05885441635723175,28
24,-0.67108999999999996,0.04916814339695935,5
25,-0.51644999999999996,0.02143048552398453,44
26,-0.24421999999999999,0.00131415744636605,47
27,-0.26008999999999999,0.00529724257042000,39
28,-0.19708999999999999,0.05885441635723175,23
29,-0.13583000000000001,0.07223122046613477,19
30,-0.08462799999999999,0.00845651811260694,32
31,0.04246100000000000,0.06793185555767049,42
32,0.05598800000000000,0.00845651811260694,30
33,0.35402000000000000,0.17079235813556481,6
34,0.38386999999999999,0.04047527486136340,37
35,0.36862000000000000,0.39434665560109505,46
36,0.70564000000000004,0.02939836669728125,10
37,-0.89215000000000000,0.04047527486136340,34
38,-0.90398000000000001,0.05066770683545475,30
39,-0.28478999999999999,0.00529724257042000,27
40,-0.19500999999999999,0.01193098340897739,42
41,-0.10863000000000000,0.07199660106017935,44
42,0.73107999999999995,0.01193098340897739,40
43,0.73301000000000005,0.00721134342992417,39
44,0.75353000000000003,0.02143048552398453,25
45,0.77298999999999995,0.15185946737113823,0
46,0.77212000000000003,0.24237096911332140,9
47,0.77080000000000004,0.00131415744636605,26
