# Time (s)
0.220468
# Mem(KB) tseries,means,norms,df,dg,profile,profileIndex,Total(MB)
158.08,157.70,157.70,157.70,157.70,157.70,157.70,1.08
# Profile Length
20185
# i,tseries,profile,index
0,-34.86800000000000210,6.36569468193456256,10718
1,-39.25699999999999790,6.32859136266958000,11331
2,-40.31900000000000261,6.28683358442331208,11332
3,-38.40699999999999648,6.30901348170373488,11333
4,-38.58200000000000074,6.34769280246960488,9116
5,-39.48599999999999710,6.32433058308066709,1995
6,-39.04800000000000182,6.74573515971591942,1996
7,-39.79800000000000182,5.71827994658645444,2340
8,-39.78399999999999892,5.08997308440142415,2341
9,-38.80700000000000216,5.25820474913870761,2342
10,-41.34100000000000108,4.90253755140004710,1227
11,-40.51599999999999824,4.36229699626519984,1227
12,-41.28900000000000148,4.03986728331421574,1227
13,-38.25999999999999801,3.57891188086799383,1227
14,-38.43800000000000239,3.53073301220103763,1227
15,-40.10000000000000142,3.37960244596750847,1227
16,-37.24000000000000199,3.26575763447580236,1227
17,-36.63900000000000290,3.05589399175586651,1229
18,-37.31000000000000227,2.89976935827771687,1229
19,-38.66499999999999915,2.79776636955004365,1230
20,-37.81000000000000227,2.74512917384307720,1231
21,-38.14999999999999858,2.72980269873432890,10868
22,-42.57800000000000296,2.69975641945446743,3063
23,-40.06799999999999784,2.60376506070151548,10868
24,-37.90999999999999659,2.55587670367416786,10869
25,-38.55499999999999972,2.44932484006541307,10869
26,-37.83299999999999841,2.33716336724134743,2054
27,-37.64399999999999835,2.29499898659046142,2054
28,-38.53499999999999659,2.24919634561818027,2056
29,-43.25399999999999778,2.18758751056807865,2056
30,-41.53900000000000148,2.11263102287926863,2057
31,-43.21500000000000341,2.11618722729603315,2058
32,-40.80199999999999960,2.11821126672900517,2059
33,-39.74399999999999977,2.11016026078113761,2060
34,-39.45900000000000318,2.11155223224935629,2061
35,-39.55899999999999750,2.10462287651727031,163
36,-39.14500000000000313,2.05711766002395713,164
37,-38.38900000000000290,1.97067318763401000,165
38,-38.36399999999999721,1.96186959098512648,166
39,-40.37400000000000233,1.96236486451198955,167
40,-41.77499999999999858,2.01223598898241596,168
41,-40.07699999999999818,1.98755093456524978,168
42,-41.05299999999999727,2.09431627631026851,169
43,-39.97599999999999909,2.10752843017791136,170
44,-38.81499999999999773,2.13682462422533082,171
45,-38.19400000000000261,2.23849119139070307,172
46,-40.86599999999999966,2.30361589204844730,173
47,-41.58700000000000330,2.24315683041706837,174
48,-39.63700000000000045,2.16613203267373011,175
49,-37.68200000000000216,2.14789006199257004,176
50,-39.62500000000000000,2.20069564812070162,177
51,-40.08200000000000074,2.27693636350960293,178
52,-39.42699999999999960,2.34380371711659219,179
53,-38.27300000000000324,2.23822547553223039,180
54,-37.89800000000000324,2.24089479260871727,181
55,-27.49899999999999878,2.27130284951143624,182
56,-25.64300000000000068,2.55896088463479865,183
57,-27.58500000000000085,2.87384453451162081,120
58,-14.38599999999999923,3.01312402950528391,121
59,-9.68609999999999971,2.92492313025648265,249
60,-8.72910000000000075,2.91114601150410568,123
61,-6.00720000000000010,2.82448655433770890,124
62,-2.74849999999999994,2.72222561544845831,20049
63,-2.49909999999999988,2.64176378672099288,20050
64,-0.15823999999999999,2.63168621360815980,20051
65,0.59897000000000000,2.54044868293373582,20052
66,2.40720000000000001,2.49928449250565476,20053
67,2.61819999999999986,2.48134106038147406,20054
68,4.42879999999999985,2.46748182016264916,20055
69,4.62460000000000004,2.48667208167928599,20056
70,5.90840000000000032,2.40099020691579224,12739
71,6.69259999999999966,2.30660138082877308,12740
72,5.64630000000000010,2.38688077847926561,12805
73,0.78861000000000003,2.43560881540978746,12743
74,-5.76890000000000036,2.44967609932893371,12744
75,-7.82770000000000010,2.43855467760745181,12745
76,-8.30020000000000024,2.41859563155451118,12746
77,-7.42189999999999994,2.37915967589132604,12747
78,-7.89860000000000007,2.32776065042435221,12748
79,-8.66649999999999920,2.26163538263814257,12749
80,-8.04570000000000007,2.17933772074466159,12750
81,-8.03560000000000052,2.13138336751480217,12751
82,-6.07699999999999996,2.05610098705869015,12752
83,-4.79399999999999959,1.98624267676946764,12753
84,-1.65169999999999995,1.92329849738121705,12754
85,-1.40959999999999996,1.90006771589709200,12755
86,-1.47659999999999991,1.87109160728659596,12756
87,0.00660230000000000,1.87603163312726751,12757
88,-1.80899999999999994,1.88439477816075107,12758
89,-5.53209999999999980,1.83864039265636681,6424
90,-7.20509999999999984,1.83186980803145261,6425
91,-11.89899999999999913,1.82199856529876936,6426
92,-13.92399999999999949,1.80317246862833858,6427
93,-12.62100000000000044,1.78851807904699744,6428
94,-11.61500000000000021,1.76494460445019063,6429
95,-12.65700000000000003,1.64250812892843912,12765
96,-13.73099999999999987,1.61842737331946029,12766
97,-13.38000000000000078,1.67437210314368046,12767
98,-14.19899999999999984,1.66897088960524465,12768
99,-14.02399999999999913,1.63203469847263216,12769
100,-15.19699999999999918,1.61972719363519158,12770
101,-15.08099999999999952,1.62459493814369660,12771
102,-13.85100000000000087,1.61837669355664748,6437
103,-15.04400000000000048,1.58734877471771330,12773
104,-16.66900000000000048,1.58057316047928986,12774
105,-18.52899999999999991,1.59065988455896345,12775
106,-20.23699999999999832,1.49094557092670144,12776
107,-20.57300000000000040,1.58207802527370811,12777
108,-25.42299999999999827,1.56003152496683772,12778
109,-24.65099999999999980,1.61998694027765677,12779
110,-23.56400000000000006,1.75746146515146773,174
111,-26.76399999999999935,1.78757358839194347,175
112,-24.43199999999999861,1.82547654420168226,176
113,-25.69000000000000128,1.95788399225660159,177
114,-27.39300000000000068,2.04292809095921113,12784
115,-26.55999999999999872,2.12910026302113353,12785
116,-26.90700000000000003,2.20133408402002395,12786
117,-26.85800000000000054,2.28151380557820049,12787
118,-25.68199999999999861,2.36150196864507134,12788
119,-25.48900000000000077,2.42349714654032988,12789
120,-27.25600000000000023,2.49014107254977590,12790
121,-16.45700000000000074,2.13625570621223382,248
122,-9.13760000000000083,1.62965404612882914,249
123,-3.40099999999999980,1.55457078619498845,250
124,-4.30839999999999979,1.51310135104502952,251
125,-3.94760000000000000,1.48004497223938780,252
126,-2.06360000000000010,1.43430827157511942,253
127,0.15825000000000000,1.39041298071275099,254
128,2.22409999999999997,1.57539076642935538,254
129,4.01480000000000015,1.92424806221978706,20053
130,2.79579999999999984,1.95416338909771881,20054
131,3.55410000000000004,1.96574656142813953,20055
132,3.48609999999999998,1.97278466834470989,20056
133,2.24160000000000004,1.97646946080340080,20057
134,2.96919999999999984,2.03824525129134670,20058
135,4.51790000000000003,2.09833148223549637,20059
136,1.79410000000000003,2.09037810049547179,11563
137,-3.19919999999999982,2.06728129298923102,11564
138,-2.29950000000000010,2.21163006675760876,11565
139,-3.66719999999999979,2.60508623801760031,12746
140,-1.78550000000000009,2.52431671844870964,12747
141,-1.02000000000000002,2.44415253852211123,12748
